"Core_Material","Size","Zeta_Potential","Tumor_Size","Time_Point","Tumor","Heart","Liver","Spleen","Lung","Kidney"
"Liposome",51,-4,"0.065 cm3",1.5,0.06,0.7546,16.2,1.18,0.96,2.65
"Liposome",93,-6,"0.065 cm3",1.5,0.06,1.2176,21.29,1.78,1.31,2.65
"Liposome",200,-2,"0.4 cm3",2,1.51,0.0288,1.52,0.15,0.08,0.35
"Hydrogel",50,-45,"0.05 cm3",1,0.21,0.3949,15.35,0.59,0.88,2.69
"Hydrogel",80,-30,"0.05 cm3",1,0.27,0.2277,22.44,1.54,0.33,0.9
"Hydrogel",120,9,"0.07 cm3",2,0.14,0.3216,13.86,1.1,2.16,1.93
"Hydrogel",120,9,"0.07 cm3",2,0.18,0.1782,16.14,0.77,1.36,1.1
"Hydrogel",200,-14.6,"0.2 cm3",49,0.54,0.0447,33.4,23.35,0.39,3.2
"Hydrogel",132.6,-24.6,"0.15 cm3",0.25,2.28,0.3427,93.47,2.92,0.57,7.68
"Hydrogel",179,-22.3,"0.15 cm3",0.25,2.37,0.4077,115.57,4.67,0.65,5.94
"Hydrogel",230.8,-18.1,"0.15 cm3",0.25,2.4,0.5936,84.14,3.92,0.77,5.3
"Hydrogel",100,-34.2,"0.15 cm3",1,0.87,0.3308,15.4,0.66,1.17,4.72
"Hydrogel",192,-25.7,"0.1 cm3",1,0.26,0.92,17.21,0.59,0.87,5.16
"Dendrimer",8,-1.3,"1.75 cm3",0.083,1.63,0.8112,19.37,0.49,0.88,6.05
"Polymeric",6.6,-1.46,"1.75 cm3",0.083,2.4,0.4824,4.27,0.34,0.9,4.37
"Polymeric",6,2.28,"1.75 cm3",0.083,1.23,0.4062,33.89,0.69,0.77,19.19
"Dendrimer",5,-6.51,"0.9 cm3",0.083,1.68,0.7024,8.16,0.5,1.31,5.31
"Dendrimer",5,-6.51,"0.9 cm3",0.083,1.36,1.0752,10.32,0.8,1.28,2.68
"Polymeric",16.4,-19.2,"1.75 cm3",0.083,2.77,1.3953,10.6,0.37,2.75,8.7
"Polymeric",164.7,-30.5,"0.1 cm3",1,0.25,0.0632,6.94,0.4,0.25,1.04
"Polymeric",175.3,-27.2,"0.1 cm3",1,0.44,0.0481,3.83,0.33,0.16,0.76
"Polymeric",171.7,-32.8,"0.1 cm3",1,0.39,0.037,5.15,0.37,0.15,0.79
"Polymeric",186.9,-29.5,"0.1 cm3",1,0.76,0.0303,3.92,0.31,0.05,0.64
"Polymeric",134,-29.5,"0.1 cm3",2,0.03,0.5713,37.07,2.83,0.48,1.26
"Polymeric",174,-22.9,"0.05 cm3",0.083,0.04,0.0228,0.56,0.02,0.09,0.16
"Polymeric",18.6,-19.7,"0.4 cm3",2,0.86,0.1231,4.27,0.14,0.26,0.87
"Polymeric",22,-16.8,"0.4 cm3",2,1.17,0.1121,5,0.16,0.33,0.78
"Liposome",150,-17.4,"0.1 cm3",0.083,0.03,0.5039,29.14,1.07,0.24,0.44
"Polymeric",29.9,-1.3,"0.1 cm3",0.08,0.26,0,5.14,0.34,0.94,1.8
"Polymeric",90,-20,"0.02 cm3",1,0.06,0.0301,18.03,1.78,0.21,0.07
"Liposome",103.9,-15,"0.07 cm3",3,0.27,0.6371,5.38,0.47,0.68,1.21
"Liposome",102.5,-39.5,"0.07 cm3",3,0.26,0.4296,6.99,0.43,0.61,1.02
"Polymeric",35,-4,"0.1 cm3",0.5,0.38,0.3019,18.4,0.65,0.84,2.67
"Polymeric",100,-4,"0.1 cm3",0.5,0.19,0.2324,7.9,0.43,0.28,1.8
"Polymeric",110,-4,"0.1 cm3",0.5,0.34,0.4156,6.33,1.48,0.68,2.23
"Polymeric",100,-4,"0.1 cm3",0.5,0.35,0.3863,6.73,1.5,0.7,2.22
"Polymeric",150,-4,"0.1 cm3",0.5,0.22,0.327,7.89,3.3,0.85,2.47
"Polymeric",107.8,-4,"0.075 cm3",1,0.22,0.3762,5.31,0.14,0.25,1.06
